,Fecha,DOW,Ciudad,Heridos,Cuenta Heridos,Muertos,Cuenta Muertos,Hora,Tipo de vehiculo,Barrio,Comuna
0,2012-01-01,7,Bucaramanga,1,,0,,12,"('AUTOMOVIL',)",Mutis,17. MUTIS
1,2012-01-01,7,Bucaramanga,0,,0,,14,"('AUTOMOVIL', 'CAMIONETA')",Regaderos Norte,02. NORORIENTAL
2,2012-01-01,7,Bucaramanga,0,,0,,12,"('CAMIONETA',)",Cabecera del Llano,12. CABECERA DEL LLANO
3,2012-01-01,7,Bucaramanga,0,,0,,18,"('AUTOMOVIL', 'CAMIONETA')",Norte Bajo,03. SAN FRANCISCO
4,2012-01-01,7,Bucaramanga,1,,0,,0,"('PEATON', 'MOTO')",Dangond,11. SUR
5,2012-01-01,7,Bucaramanga,0,,0,,21,"('AUTOMOVIL', 'MOTO')",San Miguel,06. LA CONCORDIA
6,2012-02-01,1,Bucaramanga,1,,0,,14,"('PEATON', 'MICRO')",La Pedregosa,09. LA PEDREGOSA
7,2012-02-01,1,Bucaramanga,0,,0,,19,"('CAMIONETA',)",Bucaramanga,08. SUROCCIDENTE
8,2012-02-01,1,Bucaramanga,0,,0,,12,"('AUTOMOVIL', 'OTRO')",Regaderos Norte,02. NORORIENTAL
9,2012-02-01,1,Bucaramanga,1,,0,,17,"('AUTOMOVIL',)",Tejar Norte,01. NORTE
10,2012-02-01,1,Bucaramanga,0,,0,,18,"('AUTOMOVIL',)",Sotomayor,12. CABECERA DEL LLANO
11,2012-02-01,1,Bucaramanga,0,,0,,8,"('CAMION', 'MOTO')",Norte Bajo,02. NORORIENTAL
12,2012-02-01,1,Bucaramanga,1,,0,,14,"('MOTO',)",Fontana,10. PROVENZA
13,2012-03-01,2,Bucaramanga,1,,0,,17,"('AUTOMOVIL', 'MOTO')",Provenza,10. PROVENZA
14,2012-03-01,2,Bucaramanga,1,,0,,7,"('VOLQUETA', 'MOTO')",Nuevo Sotomayor,12. CABECERA DEL LLANO
15,2012-03-01,2,Bucaramanga,0,,0,,22,"('MICRO', 'CAMION')",Café Madrid,01. NORTE
16,2012-03-01,2,Bucaramanga,0,,0,,18,"('CAMIONETA', 'MOTO')",Centro,15. CENTRO
17,2012-03-01,2,Bucaramanga,0,,0,,18,"('AUTOMOVIL', 'CAMIONETA')",Centro,15. CENTRO
18,2012-03-01,2,Bucaramanga,1,,0,,16,"('AUTOMOVIL', 'MOTO')",Centro,15. CENTRO
19,2012-04-01,3,Bucaramanga,0,,0,,18,"('AUTOMOVIL', 'CAMIONETA')",ÁLVAREZ,13. ORIENTAL
20,2012-04-01,3,Bucaramanga,0,,0,,19,"('AUTOMOVIL',)",Asturias,09. LA PEDREGOSA
21,2012-04-01,3,Bucaramanga,0,,0,,12,"('AUTOMOVIL', 'MOTO')",Bolarquí,12. CABECERA DEL LLANO
22,2012-04-01,3,Bucaramanga,0,,0,,14,"('AUTOMOVIL',)",Los Pinos,13. ORIENTAL
23,2012-04-01,3,Bucaramanga,0,,0,,11,"('AUTOMOVIL', 'CAMIONETA')",Manuela Beltrán I y II,11. SUR
24,2012-04-01,3,Bucaramanga,1,,0,,21,"('MOTO',)",La Pedregosa,09. LA PEDREGOSA
25,2012-04-01,3,Bucaramanga,0,,0,,20,"('AUTOMOVIL',)",Rio de Oro I,04. OCCIDENTAL
26,2012-04-01,3,Bucaramanga,1,,0,,15,"('CAMPAERO', 'MOTO')",Alarcón,03. SAN FRANCISCO
27,2012-04-01,3,Bucaramanga,0,,0,,18,"('AUTOMOVIL', 'MOTO')",Ciudadela Real de Minas,07. LA CIUDADELA
28,2012-04-01,3,Bucaramanga,1,,0,,19,"('AUTOMOVIL', 'MOTO')",Real de Minas,07. LA CIUDADELA
29,2012-05-01,4,Bucaramanga,1,,0,,13,"('AUTOMOVIL', 'BUS')",Antonia Santos Centro,13. ORIENTAL
30,2012-05-01,4,Bucaramanga,1,,0,,18,"('CAMION', 'MOTO')",Centro,15. CENTRO
31,2012-05-01,4,Bucaramanga,1,,0,,20,"('AUTOMOVIL', 'MOTO')",Conucos,12. CABECERA DEL LLANO
32,2012-05-01,4,Bucaramanga,0,,0,,9,"('CAMIONETA',)",Alarcón,03. SAN FRANCISCO
33,2012-05-01,4,Bucaramanga,1,,0,,10,"('AUTOMOVIL', 'MOTO')",Nuevo Sotomayor,12. CABECERA DEL LLANO
34,2012-05-01,4,Bucaramanga,1,,0,,9,"('PEATON', 'AUTOMOVIL')",Alarcón,03. SAN FRANCISCO
35,2012-05-01,4,Bucaramanga,0,,0,,9,"('AUTOMOVIL', 'CAMION')",ZONA INDUSTRIAL DE CHIMITA,04. OCCIDENTAL
36,2012-05-01,4,Bucaramanga,1,,0,,11,"('PEATON', 'CAMIONETA')",Antonia Santos Centro,13. ORIENTAL
37,2012-05-01,4,Bucaramanga,0,,0,,7,"('AUTOMOVIL',)",Asturias,09. LA PEDREGOSA
38,2012-05-01,4,Bucaramanga,0,,0,,9,"('AUTOMOVIL', 'CAMIONETA')",La Aurora,13. ORIENTAL
39,2012-05-01,4,Bucaramanga,0,,0,,10,"('AUTOMOVIL', 'MOTO')",Mejoras Públicas,13. ORIENTAL
40,2012-05-01,4,Bucaramanga,1,,0,,16,"('PEATON', 'AUTOMOVIL', 'MOTO')",Cabecera del Llano,12. CABECERA DEL LLANO
41,2012-06-01,5,Bucaramanga,0,,0,,10,"('AUTOMOVIL', 'CAMIONETA')",Girardot,04. OCCIDENTAL
42,2012-06-01,5,Bucaramanga,0,,0,,16,"('VOLQUETA',)",ZONA INDUSTRIAL DE CHIMITA,04. OCCIDENTAL
43,2012-06-01,5,Bucaramanga,0,,0,,15,"('AUTOMOVIL',)",Ciudadela Real de Minas,07. LA CIUDADELA
44,2012-06-01,5,Bucaramanga,1,,0,,15,"('PEATON', 'AUTOMOVIL')",San Alonso,13. ORIENTAL
45,2012-06-01,5,Bucaramanga,1,,0,,20,"('PEATON', 'BUSETA')",Mejoras Públicas,13. ORIENTAL
46,2012-06-01,5,Bucaramanga,0,,0,,12,"('AUTOMOVIL', 'CAMIONETA')",Bolarquí,12. CABECERA DEL LLANO
47,2012-06-01,5,Bucaramanga,1,,0,,6,"('AUTOMOVIL',)",Juan XXIII,08. SUROCCIDENTE
48,2012-06-01,5,Bucaramanga,1,,0,,9,"('MOTO', 'BICICLETA')",La Ceiba,06. LA CONCORDIA
49,2012-06-01,5,Bucaramanga,0,,0,,19,"('AUTOMOVIL', 'MOTO')",Centro,15. CENTRO
50,2012-07-01,6,Bucaramanga,0,,0,,17,"('AUTOMOVIL', 'MOTO')",Centro,15. CENTRO
