,Fecha,DOW,Ciudad,Heridos,Cuenta Heridos,Muertos,Cuenta Muertos,Clase accidente,Hora,Clima
0,2018-02-25 05:00:00,7,San Andres y Providencia,1,2.0,0,0.0,Choque,,Seca
1,2018-02-17 05:00:00,6,San Andres y Providencia,1,3.0,0,0.0,Choque,,Seca
2,2018-02-03 05:00:00,6,San Andres y Providencia,1,2.0,0,0.0,Choque,,Seca
3,2018-01-27 05:00:00,6,San Andres y Providencia,1,3.0,0,0.0,Choque,,Seca
4,2018-01-24 05:00:00,3,San Andres y Providencia,1,2.0,0,0.0,Choque,,Seca
5,2018-01-21 05:00:00,7,San Andres y Providencia,1,1.0,0,0.0,Choque,,Seca
6,2018-01-04 05:00:00,4,San Andres y Providencia,1,3.0,1,1.0,Choque,,Lluvia
7,2018-01-04 05:00:00,4,San Andres y Providencia,1,3.0,1,1.0,Choque,,Lluvia
8,2018-01-04 05:00:00,4,San Andres y Providencia,1,3.0,1,1.0,Choque,,Lluvia
9,2017-12-04 05:00:00,1,San Andres y Providencia,1,1.0,0,0.0,Choque,,Seca
10,2017-12-18 05:00:00,1,San Andres y Providencia,1,2.0,0,0.0,Choque,,Seca
11,2017-12-03 05:00:00,7,San Andres y Providencia,1,1.0,0,0.0,Choque,,Seca
12,2017-12-02 05:00:00,6,San Andres y Providencia,0,0.0,0,0.0,Volcamiento,,Seca
13,2017-12-12 05:00:00,2,San Andres y Providencia,1,1.0,0,0.0,Volcamiento,,Seca
14,2017-11-09 05:00:00,4,San Andres y Providencia,1,2.0,1,2.0,Choque,,Seca
15,2017-11-03 05:00:00,5,San Andres y Providencia,1,2.0,1,2.0,Choque,,Seca
16,2017-10-29 05:00:00,7,San Andres y Providencia,1,2.0,1,2.0,Choque,,Seca
17,2017-10-21 05:00:00,6,San Andres y Providencia,0,0.0,0,0.0,Choque,,Sol
18,2017-10-14 05:00:00,6,San Andres y Providencia,1,1.0,0,0.0,Choque,,Sol
19,2017-10-13 05:00:00,5,San Andres y Providencia,1,1.0,0,0.0,Choque,,Lluvia
20,2017-08-28 05:00:00,1,San Andres y Providencia,1,2.0,0,0.0,Volcamiento,,Seca
21,2017-08-22 05:00:00,2,San Andres y Providencia,1,1.0,0,0.0,Choque,,Seca
22,2017-09-23 05:00:00,6,San Andres y Providencia,1,1.0,0,0.0,Choque,,Sol
23,2017-05-25 05:00:00,4,San Andres y Providencia,1,2.0,0,0.0,Choque,,Seca
