,Fecha,DOW,Clase accidente,Cuenta heridos,Cuenta muertos,Hora,Coordenadas,Muertos,Heridos,Ciudad
0,2015-01-01,4,Choque,1,0,14,,0,1,Barranquilla
1,2015-01-01,4,Choque,0,0,14,"(11.0307828, -74.8662845)",0,0,Barranquilla
2,2015-01-01,4,Choque,0,0,14,"(10.9879891, -74.8136793)",0,0,Barranquilla
3,2015-01-01,4,Choque,2,0,15,"(10.9749693, -74.77481077519273)",0,1,Barranquilla
4,2015-01-01,4,Choque,0,0,4,"(10.9622031, -74.8071811)",0,0,Barranquilla
5,2015-01-01,4,Choque,2,0,16,"(11.0298723, -74.8659803)",0,1,Barranquilla
6,2015-01-01,4,Atropello,1,0,16,"(11.0081263, -74.8221112)",0,1,Barranquilla
7,2015-01-01,4,Choque,0,0,6,"(10.933987, -74.8264693)",0,0,Barranquilla
8,2015-01-01,4,Choque,0,0,19,"(11.0197057, -74.8234606)",0,0,Barranquilla
9,2015-01-01,4,Choque,0,0,21,"(10.9947102, -74.7846087)",0,0,Barranquilla
10,2015-01-02,5,Choque,0,0,13,"(10.9690361, -74.8059663)",0,0,Barranquilla
11,2015-01-02,5,Choque,0,0,15,,0,0,Barranquilla
12,2015-01-02,5,Choque,0,0,16,,0,0,Barranquilla
13,2015-01-02,5,Choque,0,0,16,"(10.9231047, -74.8067893)",0,0,Barranquilla
14,2015-01-02,5,Atropello,0,1,4,"(10.9707394, -74.7755914)",1,0,Barranquilla
15,2015-01-02,5,Choque,0,0,16,"(11.0026219, -74.8091219)",0,0,Barranquilla
16,2015-01-02,5,Choque,0,0,17,"(10.999276649999999, -74.80281534602189)",0,0,Barranquilla
17,2015-01-02,5,Choque,0,0,17,"(10.9988372, -74.81316730921199)",0,0,Barranquilla
18,2015-01-02,5,Choque,0,0,18,"(11.0254147, -74.8011125)",0,0,Barranquilla
19,2015-01-02,5,Choque,0,0,7,"(10.9816374, -74.780858)",0,0,Barranquilla
20,2015-01-02,5,Choque,0,0,8,"(10.9421932, -74.7937608)",0,0,Barranquilla
21,2015-01-02,5,Choque,0,0,9,"(10.9690361, -74.8059663)",0,0,Barranquilla
22,2015-01-02,5,Choque,0,0,21,,0,0,Barranquilla
23,2015-01-03,6,Choque,0,0,13,"(10.9931254, -74.803449)",0,0,Barranquilla
24,2015-01-03,6,Choque,0,0,14,,0,0,Barranquilla
25,2015-01-03,6,Choque,0,0,15,"(10.9920957, -74.7938657)",0,0,Barranquilla
26,2015-01-03,6,Choque,0,0,15,"(10.9714652, -74.7977495)",0,0,Barranquilla
27,2015-01-03,6,Choque,0,0,17,"(10.9840002, -74.7830133)",0,0,Barranquilla
28,2015-01-03,6,Choque,0,0,8,,0,0,Barranquilla
29,2015-01-03,6,Choque,0,0,20,"(10.9346917, -74.8277958)",0,0,Barranquilla
30,2015-01-03,6,Choque,0,0,9,,0,0,Barranquilla
31,2015-01-03,6,Choque,0,0,22,"(10.9785239, -74.817413)",0,0,Barranquilla
32,2015-01-03,6,Choque,0,0,23,,0,0,Barranquilla
33,2015-01-03,6,Choque,0,0,12,"(10.9785239, -74.817413)",0,0,Barranquilla
34,2015-01-04,7,Choque,0,0,1,"(11.0013001, -74.81713039033045)",0,0,Barranquilla
35,2015-01-04,7,Choque,1,0,2,"(10.9714652, -74.7977495)",0,1,Barranquilla
36,2015-01-04,7,Choque,0,0,15,"(10.960294399999999, -74.8001156)",0,0,Barranquilla
37,2015-01-04,7,Choque,0,0,3,"(10.9585506, -74.8514972)",0,0,Barranquilla
38,2015-01-04,7,Choque,0,0,15,"(10.9612084, -74.7835016)",0,0,Barranquilla
39,2015-01-04,7,Choque,0,0,19,"(11.0232253, -74.8690067)",0,0,Barranquilla
40,2015-01-04,7,Choque,0,0,11,,0,0,Barranquilla
41,2015-01-05,1,Choque,0,0,14,"(10.9868173, -74.7900113)",0,0,Barranquilla
42,2015-01-05,1,Choque,0,0,14,"(11.0197057, -74.8234606)",0,0,Barranquilla
43,2015-01-05,1,Choque,0,0,16,"(10.9815598, -74.8281696)",0,0,Barranquilla
44,2015-01-05,1,Choque,1,0,16,,0,1,Barranquilla
45,2015-01-05,1,Choque,0,0,18,,0,0,Barranquilla
46,2015-01-05,1,Choque,0,0,7,"(10.9454055, -74.7951853)",0,0,Barranquilla
47,2015-01-05,1,Choque,0,0,7,"(10.9302154, -74.821693)",0,0,Barranquilla
48,2015-01-05,1,Choque,0,0,8,"(10.9472538, -74.7715173)",0,0,Barranquilla
49,2015-01-05,1,Choque,0,0,8,"(10.9833017, -74.8032032)",0,0,Barranquilla
50,2015-01-05,1,Choque,0,0,10,"(11.0128547, -74.816201)",0,0,Barranquilla
51,2015-01-05,1,Choque,0,0,10,"(10.9999194, -74.8239662)",0,0,Barranquilla
52,2015-01-05,1,Choque,0,0,12,"(10.9931254, -74.803449)",0,0,Barranquilla
53,2015-01-05,1,Choque,1,0,12,"(11.0002603, -74.8061183)",0,1,Barranquilla
54,2015-01-05,1,Choque,0,0,12,"(10.9730594, -74.8398939)",0,0,Barranquilla
55,2015-01-06,2,Choque,0,0,13,,0,0,Barranquilla
56,2015-01-06,2,Choque,0,0,15,,0,0,Barranquilla
57,2015-01-06,2,Choque,0,0,15,,0,0,Barranquilla
58,2015-01-06,2,Choque,0,0,15,,0,0,Barranquilla
59,2015-01-06,2,Choque,0,0,16,"(10.9810232, -74.7762661)",0,0,Barranquilla
60,2015-01-06,2,Choque,0,0,18,"(10.9946862, -74.7871693)",0,0,Barranquilla
61,2015-01-06,2,Choque,1,0,18,"(10.9616729, -74.8390736)",0,1,Barranquilla
62,2015-01-06,2,Choque,0,0,7,,0,0,Barranquilla
63,2015-01-06,2,Choque,0,0,8,"(10.9810773, -74.7878567)",0,0,Barranquilla
64,2015-01-06,2,Choque,0,0,9,"(10.9931254, -74.803449)",0,0,Barranquilla
65,2015-01-06,2,Choque,0,0,10,"(10.9509148, -74.8342695)",0,0,Barranquilla
66,2015-01-06,2,Otro,0,0,12,,0,0,Barranquilla
67,2015-01-07,3,Choque,0,0,13,"(10.9365583, -74.7924868)",0,0,Barranquilla
68,2015-01-07,3,Choque,1,0,13,"(10.9750663, -74.8326701)",0,1,Barranquilla
69,2015-01-07,3,Choque,0,0,15,"(11.0081263, -74.8221112)",0,0,Barranquilla
