,Fecha,Hora,DOW,Coordenadas,Ciudad,Heridos,Cuenta heridos,Muertos,Cuenta muertos,Clase accidente,Barrio,Tipo vehiculo
0,2020-01-01,19,3,"3.52189,-76.30695",Palmira,0,,0,,Choque,OLIMPICO,AUTOMOVIL
1,2020-01-01,19,3,"3.52189,-76.30695",Palmira,0,,0,,Choque,OLIMPICO,AUTOMOVIL
2,2020-01-02,12,4,"3.5387,-76.30631",Palmira,0,,0,,Choque,INDUSTRIAL,CAMIONETA
3,2020-01-02,12,4,"3.5387,-76.30631",Palmira,0,,0,,Choque,INDUSTRIAL,AUTOMOVIL
4,2020-01-01,12,3,"3.55325,-76.29304",Palmira,1,,0,,Choque,ZAMORANO,MOTO
5,2020-01-01,12,3,"3.55325,-76.29304",Palmira,1,,0,,Choque,ZAMORANO,AUTOMOVIL
6,2020-01-01,12,3,"3.55325,-76.29304",Palmira,1,,0,,Choque,ZAMORANO,NO APLICA
7,2020-01-02,14,4,"3.54674,-76.38272",Palmira,0,,0,,Choque,AEROPUERTO,AUTOMOVIL
8,2020-01-02,14,4,"3.54674,-76.38272",Palmira,0,,0,,Choque,AEROPUERTO,AUTOMOVIL
9,2020-01-03,14,5,"3.52049,-76.30189",Palmira,0,,0,,Choque,RECREO,MOTO
10,2020-01-03,14,5,"3.52049,-76.30189",Palmira,0,,0,,Choque,RECREO,AUTOMOVIL
11,2020-01-03,9,5,"3.53456,-76.30268",Palmira,0,,0,,Choque,COLOMBIA,CAMION
12,2020-01-03,9,5,"3.53456,-76.30268",Palmira,0,,0,,Choque,COLOMBIA,CAMIONETA
13,2020-01-03,0,5,"3.52086,-76.29496",Palmira,1,,0,,Choque,SEMBRADOR,MOTO
14,2020-01-03,0,5,"3.52086,-76.29496",Palmira,1,,0,,Choque,SEMBRADOR,MOTO
15,2020-01-03,9,5,"3.53666,-76.29062",Palmira,0,,0,,Choque,SAN PEDRO,AUTOMOVIL
16,2020-01-03,9,5,"3.53666,-76.29062",Palmira,0,,0,,Choque,SAN PEDRO,MOTO
17,2020-01-03,12,5,"3.5276,-76.2741",Palmira,1,,0,,Choque,JARDIN,CAMION
18,2020-01-03,12,5,"3.5276,-76.2741",Palmira,1,,0,,Choque,JARDIN,MOTO
19,2020-01-03,12,5,"3.5276,-76.2741",Palmira,1,,0,,Choque,JARDIN,NO APLICA
20,2020-01-06,22,1,"3.51062,-76.30167",Palmira,1,,0,,Choque,SESQUI,MOTO
21,2020-01-06,22,1,"3.51062,-76.30167",Palmira,1,,0,,Choque,SESQUI,NO APLICA
22,2020-01-06,22,1,"3.51062,-76.30167",Palmira,1,,0,,Choque,SESQUI,MOTO
23,2020-01-07,0,2,"3.53878,-76.29711",Palmira,1,,0,,Volcamiento,SANTA BARBARA,MOTO
24,2020-01-04,7,6,"3.56461,-76.31021",Palmira,0,,0,,Choque,CORONADO ROZO,AUTOMOVIL
25,2020-01-04,7,6,"3.56461,-76.31021",Palmira,0,,0,,Choque,CORONADO ROZO,VOLQUETA
26,2020-01-04,8,6,"3.53856,-76.29026",Palmira,1,,0,,Choque,CAÑA MIEL,AUTOMOVIL
27,2020-01-04,8,6,"3.53856,-76.29026",Palmira,1,,0,,Choque,CAÑA MIEL,MOTO
28,2020-01-05,17,7,"3.54086,-76.29091",Palmira,0,,0,,Choque,CAÑA MIEL,AUTOMOVIL
