,Ciudad,Year,Month,Accidentes,Habitantes,AccidentesNormalizado
0,Bucaramanga,2012,1,372,608947,610.8906029588783
1,Bucaramanga,2012,2,380,608947,624.0280352805745
2,Bucaramanga,2012,3,341,608947,559.983052712305
3,Bucaramanga,2012,4,352,608947,578.0470221546375
4,Bucaramanga,2012,5,353,608947,579.6892011948495
5,Bucaramanga,2012,6,345,608947,566.5517688731532
6,Bucaramanga,2012,7,337,608947,553.4143365514568
7,Bucaramanga,2012,8,394,608947,647.0185418435431
8,Bucaramanga,2012,9,373,608947,612.5327819990902
9,Bucaramanga,2012,10,359,608947,589.5422754361217
10,Bucaramanga,2012,11,363,608947,596.1109915969698
11,Bucaramanga,2012,12,374,608947,614.1749610393023
12,Bucaramanga,2013,1,337,608947,553.4143365514568
13,Bucaramanga,2013,2,342,608947,561.625231752517
14,Bucaramanga,2013,3,313,608947,514.002039586368
15,Bucaramanga,2013,4,339,608947,556.698694631881
16,Bucaramanga,2013,5,340,608947,558.3408736720929
17,Bucaramanga,2013,6,316,608947,518.928576707004
18,Bucaramanga,2013,7,343,608947,563.267410792729
19,Bucaramanga,2013,8,343,608947,563.267410792729
20,Bucaramanga,2013,9,366,608947,601.0375287176059
21,Bucaramanga,2013,10,315,608947,517.286397666792
22,Bucaramanga,2013,11,350,608947,574.7626640742134
23,Bucaramanga,2013,12,350,608947,574.7626640742134
24,Bucaramanga,2014,1,326,608947,535.3503671091245
25,Medellin,2014,1,668,2570327,259.88911138543847
26,Bucaramanga,2014,2,291,608947,477.87410070170307
27,Medellin,2014,2,541,2570327,210.4790557777279
28,Bucaramanga,2014,3,342,608947,561.625231752517
29,Medellin,2014,3,585,2570327,227.59750024024183
30,Bucaramanga,2014,4,295,608947,484.44281686255124
31,Medellin,2014,4,704,2570327,273.8951114002226
32,Bucaramanga,2014,5,311,608947,510.71768150594386
33,Medellin,2014,5,827,2570327,321.7489447840683
34,Bucaramanga,2014,6,260,608947,426.9665504551299
35,Medellin,2014,6,756,2570327,294.12600031046634
36,Bucaramanga,2014,7,300,608947,492.6537120636114
37,Medellin,2014,7,3128,2570327,1216.9657790623528
38,Bucaramanga,2014,8,316,608947,518.928576707004
39,Medellin,2014,8,3109,2570327,1209.5737234989945
40,Bucaramanga,2014,9,313,608947,514.002039586368
