,Ciudad,Year,Accidentes,Habitantes,AccidentesNormalizado
0,Barranquilla,2015,6237,1311856,4754.332792623581
1,Barranquilla,2016,6520,1311856,4970.057689258577
2,Barranquilla,2017,6389,1311856,4870.199168201388
3,Barranquilla,2018,5898,1311856,4495.920283933603
4,Barranquilla,2019,5645,1311856,4303.063750899489
5,Barranquilla,2020,3281,1311856,2501.036699149907
6,Barranquilla,2021,4700,1311856,3582.710297471674
7,Barranquilla,2022,1714,1311856,1306.5458403971168
8,Bucaramanga,2012,4343,608947,7131.983571640882
9,Bucaramanga,2013,4054,608947,6657.393829019602
10,Bucaramanga,2014,3724,608947,6115.47474574963
11,Bucaramanga,2015,3765,608947,6182.804086398323
12,Bucaramanga,2016,3733,608947,6130.254357111538
13,Bucaramanga,2017,3807,608947,6251.775606087229
14,Bucaramanga,2018,3910,608947,6420.920047229069
15,Bucaramanga,2019,3724,608947,6115.47474574963
16,Bucaramanga,2020,2018,608947,3313.917303147893
17,Bucaramanga,2021,2685,608947,4409.250722969323
18,Bucaramanga,2022,842,608947,1382.7147518585361
19,Envigado,2016,12546,241863,51872.34095334962
20,Envigado,2017,4884,241863,20193.249897669342
21,Envigado,2018,5911,241863,24439.455394169425
22,Envigado,2019,6916,241863,28594.700305544873
23,Envigado,2020,4366,241863,18051.54157518926
24,Envigado,2021,2382,241863,9848.55062576748
25,Medellin,2014,22415,2570327,8720.68028698294
26,Medellin,2015,46172,2570327,17963.473130072554
27,Medellin,2016,47101,2570327,18324.90574156518
28,Medellin,2017,46201,2570327,17974.755741195575
29,Medellin,2018,43358,2570327,16868.6707955836
30,Medellin,2019,45795,2570327,17816.799185473286
31,Medellin,2020,19717,2570327,7671.008396986064
32,Palmira,2020,2380,284508,8365.318374175771
