,LAT,LON,Cuenta
597,10.9810232,-74.7762661,2226
234,10.9495336,-74.8338647,1091
632,10.9833017,-74.8032032,903
524,10.9749693,-74.77481077519273,610
638,10.9840002,-74.7830133,538
19,10.9231047,-74.8067893,528
54,10.9302154,-74.821693,498
840,11.0002603,-74.8061183,485
236,10.9497481,-74.7998106,440
49,10.9289306,-74.8294914,434
837,10.9999946,-74.8155181,405
836,10.9999194,-74.8239662,356
821,10.9988372,-74.81316730921199,355
543,10.9764281,-74.8308465,347
890,11.0051225,-74.8116102,346
568,10.9785239,-74.817413,345
398,10.9620701,-74.7938535,325
771,10.9946226,-74.7811362,321
401,10.9622031,-74.8071811,306
649,10.9848524,-74.7984711,304
907,11.006591,-74.8190752,285
905,11.0064674,-74.8168216,281
644,10.9843874,-74.7690596,278
974,11.0184066,-74.8358416,258
982,11.0197057,-74.8234606,256
899,11.0058959,-74.817376,256
850,11.0011462,-74.7920875,255
1029,11.0298723,-74.8659803,253
776,10.9947102,-74.7846087,249
693,10.988364,-74.7768675,249
494,10.97082,-74.7984474,244
757,10.9931254,-74.803449,239
248,10.9507864,-74.8535901,235
340,10.9580776,-74.8368204,221
802,10.996618,-74.7833315,216
491,10.9703184,-74.7746056,215
481,10.9690361,-74.8059663,214
853,11.0013001,-74.81713039033045,202
493,10.9707394,-74.7755914,184
867,11.0026219,-74.8091219,180
1009,11.0232253,-74.8690067,169
699,10.9887066,-74.8118416,165
712,10.9895769,-74.778251,157
607,10.9816374,-74.780858,155
90,10.9346917,-74.8277958,155
353,10.9585506,-74.8514972,153
922,11.0084989,-74.8307976,153
677,10.9868173,-74.7900113,151
271,10.9526634,-74.854989,149
733,10.9914258,-74.7833963,146
399,10.9621476,-74.82769,146
499,10.9714652,-74.7977495,145
37,10.9264181,-74.8310553,143
623,10.9827205,-74.8183407,139
812,10.9973539,-74.7954824,138
591,10.9807382,-74.8312555,133
654,10.9853001,-74.8112604,131
549,10.9769554,-74.8329194,130
387,10.9612084,-74.7835016,129
604,10.9815598,-74.8281696,128
599,10.9810773,-74.7878567,127
523,10.9748552,-74.8000943,125
28,10.9241568,-74.8274329,124
992,11.020954,-74.8271642,124
409,10.9627869,-74.7972225,124
742,10.9920957,-74.7938657,123
514,10.9730594,-74.8398939,120
839,11.0002111,-74.7989206,114
165,10.9434241,-74.8307449,114
585,10.9796979,-74.7619085,113
291,10.9547793,-74.8122271,110
1022,11.0254147,-74.8011125,110
972,11.0183031,-74.834442,109
530,10.9755934,-74.8350339,108
932,11.0103609,-74.8084969,102
801,10.9965879,-74.7913155,101
464,10.9676435,-74.7891559,100
1039,11.035087,-74.8291386,93
723,10.9906537,-74.7915763,91
816,10.997944,-74.7947032,89
82,10.933987,-74.8264693,85
442,10.9653111,-74.8030503,83
105,10.9361904,-74.8029881,81
375,10.960294399999999,-74.8001156,81
257,10.9514925,-74.7951119,81
21,10.9231759,-74.8334709,78
774,10.9946862,-74.7871693,77
297,10.9551885,-74.8329311,76
1030,11.0307828,-74.8662845,76
724,10.9906656,-74.7805451,76
645,10.9844062,-74.8251475,72
917,11.0081263,-74.8221112,70
482,10.9690689,-74.8142026,70
296,10.95509405,-74.8365175251017,69
1031,11.0311595,-74.8715625,69
92,10.9347977,-74.823077,69
572,10.978902,-74.8402035,68
697,10.9885477,-74.8350612,67
971,11.0182838,-74.8170668,67
962,11.0164847,-74.8289803,66
838,11.0000249,-74.8261656,66
911,11.0068948,-74.8015955,62
822,10.9992315,-74.7981486,62
950,11.01327895,-74.79814769651323,61
264,10.951939,-74.772261,60
945,11.0128547,-74.816201,60
22,10.9233015,-74.8148712,60
192,10.9454322,-74.8334369,60
537,10.9759772,-74.7953087,59
130,10.9393562,-74.7791091,58
199,10.9460482,-74.7723727,57
749,10.9926774,-74.8442704,55
762,10.9936904,-74.7969489,54
142,10.9409375,-74.7930823,53
775,10.994705,-74.8177614,51
269,10.9525966,-74.773914,50
433,10.9646971,-74.7913921,49
588,10.9803232,-74.7655152,49
680,10.9870446,-74.7772562,48
384,10.9606989,-74.83590387279317,48
577,10.9791545,-74.8170241,48
443,10.9653961,-74.8060745,47
710,10.989516,-74.7836216,47
554,10.9773036,-74.76934,47
198,10.9458677,-74.8230053,47
231,10.9493213,-74.8128371,47
544,10.976508,-74.8097671,46
388,10.9612386,-74.8535592,46
770,10.9945128,-74.7830816,45
909,11.0068102,-74.8016968,44
830,10.9995661,-74.8297906,44
411,10.962816,-74.7972107,44
732,10.9913881,-74.8092916,43
968,11.0177612,-74.8200086,42
884,11.004713,-74.7880868,41
690,10.9882702,-74.777725,41
200,10.9461045,-74.7921257,41
218,10.9478266,-74.7988601,41
315,10.9562317,-74.7693979,41
383,10.9606941,-74.8073054,40
882,11.0045026,-74.8325632,40
151,10.9421932,-74.7937608,39
976,11.0187331,-74.8080688,39
721,10.9900865,-74.8079776,39
679,10.986942,-74.8146837,37
337,10.9578712,-74.7999242,37
918,11.0081621,-74.7949004,37
876,11.0035789,-74.797757,36
756,10.9930651,-74.7878892,36
643,10.9843815,-74.7766767,36
93,10.9348548,-74.7880043,36
196,10.9455049,-74.8180866,35
674,10.9866091,-74.8123169,35
669,10.9862187,-74.8210259,34
211,10.9472538,-74.7715173,33
538,10.9760463,-74.8173256,33
328,10.9572524,-74.8938093,33
454,10.9668752,-74.7888643,33
861,11.0019456,-74.7968793,32
58,10.9304756,-74.8025288,32
545,10.9765929,-74.7979679,31
78,10.9334862,-74.808349,31
62,10.9311766,-74.8271399,31
60,10.9310666,-74.8005824,31
287,10.9538088,-74.8565691,31
300,10.9552869,-74.7778511,30
20,10.923134300000001,-74.81528030910562,30
167,10.9434892,-74.7836772,30
144,10.941301,-74.777303,30
265,10.9522461,-74.8239891,29
161,10.9432564,-74.8315993,29
477,10.968557,-74.8144708,28
609,10.9816888,-74.8347347,28
967,11.0174258,-74.8324698,28
1005,11.022901,-74.8180784,28
238,10.9501083,-74.8264977,28
738,10.9917207,-74.8103085,28
987,11.0203195,-74.797482,27
73,10.932777,-74.8296565,27
823,10.999276649999999,-74.80281534602189,27
676,10.9867919,-74.7677807,27
910,11.0068679,-74.7992769,27
156,10.9429122,-74.775698,26
426,10.9642851,-74.7962689,26
349,10.9583298,-74.8145221,26
760,10.9935888,-74.783336,25
634,10.983351,-74.7777294,25
486,10.969383,-74.7814315,25
84,10.9340834,-74.8005608,25
1042,11.0375644,-74.8269314,24
586,10.9801077,-74.8333166,24
69,10.9322982,-74.8066991,24
594,10.9808853,-74.7912365,24
260,10.9516016,-74.8344504,24
553,10.9771825,-74.7955393,23
358,10.9589361,-74.8123293,23
696,10.9885394,-74.8001611,22
230,10.94932,-74.7759259,22
552,10.9771749,-74.7799667,22
170,10.9441868,-74.8270414,22
449,10.9663915,-74.7717503,22
148,10.9418292,-74.7772809,22
997,11.0216108,-74.799704,22
268,10.9523576,-74.8523479,21
47,10.9282048,-74.8148232,21
637,10.9837188,-74.7686039,21
869,11.0029357,-74.8346895,21
10,10.9220163,-74.8253391,21
429,10.9644094,-74.8043436,21
916,11.007997,-74.8024574,21
261,10.9516076,-74.8247894,21
50,10.9296872,-74.7951317,21
856,11.0015259,-74.8068264,20
42,10.9271024,-74.8050354,20
450,10.966614,-74.800128,20
191,10.9454055,-74.7951853,20
365,10.9593416,-74.8023335,20
235,10.9497389,-74.7746412,20
625,10.982864,-74.8109216,20
16,10.9228013,-74.8159554,19
657,10.9853855,-74.807695,19
596,10.9809058,-74.7837718,19
541,10.9763481,-74.798593,19
403,10.9623672,-74.7653456,19
663,10.9857597,-74.7769949,18
525,10.9750663,-74.8326701,18
569,10.9786692,-74.8264134,18
949,11.0132287,-74.8315198,18
103,10.9359556,-74.7864626,18
145,10.9413201,-74.8308405,18
814,10.9976921,-74.8049352,18
570,10.9786954,-74.7835468,18
182,10.944936,-74.7898583,17
68,10.9320329,-74.7966501,17
921,11.0083867,-74.8010231,17
108,10.9364843,-74.799135,17
318,10.9563566,-74.763136,17
940,11.0118015,-74.8251153,17
755,10.9930063,-74.8063002,17
325,10.957227,-74.7908847,17
670,10.9862831,-74.8322739,17
535,10.975902,-74.7996251,17
239,10.9502784,-74.7547437,17
1028,11.02970225,-74.81757384673763,17
826,10.9993697,-74.788329,16
77,10.9334419,-74.8051548,16
516,10.9738414,-74.767182,16
125,10.9385042,-74.7911574,16
187,10.9451181,-74.7790257,16
64,10.9315739,-74.7964553,16
661,10.9857198,-74.7999602,16
1024,11.0273704,-74.8171824,16
994,11.0210939,-74.8200247,16
36,10.9262635,-74.8068909,16
39,10.9268515,-74.8050402,16
718,10.989972,-74.7830833,16
83,10.9340608,-74.7905277,15
158,10.9430528,-74.8337028,15
363,10.9590999,-74.8391811,15
382,10.9606494,-74.7653366,15
942,11.0121626,-74.7959916,15
542,10.9763552,-74.8085488,15
95,10.9352287,-74.8336676,15
210,10.9472126,-74.779,15
228,10.9490531,-74.7982753,14
109,10.9365583,-74.7924868,14
88,10.9346243,-74.789942,14
555,10.9773582,-74.8129842,14
571,10.9788555,-74.8259752,14
1018,11.0249722,-74.816104,14
201,10.9464075,-74.7927739,14
672,10.9865251,-74.8008065,14
616,10.9819759,-74.7999347,14
212,10.9473814,-74.8618093,14
317,10.9562939,-74.8358881,13
66,10.9317744,-74.8253255,13
898,11.0056306,-74.7903809,13
207,10.9468729,-74.825573,13
440,10.9652054,-74.790794,13
862,11.0019739,-74.7816166,13
719,10.989994,-74.7980466,13
451,10.9666562,-74.8001361,13
795,10.9961566,-74.8416359,13
936,11.0110839,-74.8210251,13
303,10.9553672,-74.7721265,12
283,10.9534642,-74.8566055,12
730,10.9912784,-74.8226768,12
364,10.959318,-74.7974387,12
448,10.9663076,-74.822398,12
273,10.9527044,-74.7610666,12
385,10.9609239,-74.8048351,12
444,10.9654335,-74.833277,12
441,10.9652355,-74.8343903,12
323,10.9569101,-74.8064314,12
476,10.9685198,-74.8032,12
521,10.9746477,-74.8322413,12
53,10.9302094,-74.8219953,11
602,10.9814872,-74.7678196,11
110,10.9366514,-74.7845412,11
653,10.9852054,-74.7766225,11
928,11.0095628,-74.8223983,11
216,10.9476651,-74.7665659,11
939,11.0114479,-74.78895596248843,11
154,10.9428923,-74.8098737,11
3,10.915765,-74.945766,10
203,10.9464498,-74.7636222,10
190,10.9453495,-74.8136566,10
246,10.9506831,-74.7797756,10
162,10.9432709,-74.8217815,10
46,10.9281935,-74.8324449,10
981,11.0196938,-74.8056695,10
94,10.9349134,-74.7993561,10
688,10.9879891,-74.8136793,10
131,10.9394014,-74.7802731,10
631,10.9832791,-74.8028954,10
85,10.9343647,-74.8054781,10
173,10.9442491,-74.7666717,9
376,10.9603239,-74.8601535,9
194,10.9454349,-74.8299091,9
582,10.9793229,-74.8151271,9
703,10.9892947,-74.809227,9
472,10.9681614,-74.8138593,9
255,10.9512924,-74.8275851,9
289,10.9544653,-74.8533066,9
933,11.0105013,-74.8064034,9
152,10.9423267,-74.7959681,9
687,10.987744,-74.8035085,9
214,10.9476457,-74.7791376,9
458,10.9671184,-74.7969772,9
267,10.9523187,-74.8003906,9
964,11.0170335,-74.8274322,9
241,10.9503267,-74.7714101,8
808,10.9971939,-74.8399603,8
24,10.923520100000001,-74.81435602362029,8
