,LAT,LON,Cuenta
220,6.1624795,-75.570222,222
828,6.174122,-75.593061,208
855,6.1747894,-75.594204,158
179,6.161312,-75.603198,142
976,6.1793666,-75.58808,136
768,6.1728592,-75.592769,125
1007,6.1815601,-75.582016,121
325,6.1649708,-75.574637,108
518,6.1685607,-75.587015,101
993,6.1803761,-75.590288,101
1055,6.1865159,-75.585125,99
390,6.1661953,-75.599285,98
1040,6.183992,-75.579597,94
1048,6.1850591,-75.583293,92
1035,6.1835995,-75.579409,86
852,6.1746811,-75.578471,81
631,6.1705375,-75.588625,80
963,6.1782483,-75.591688,80
296,6.1644857,-75.594678,79
313,6.1648317,-75.574234,77
1057,6.187349,-75.581535,76
1046,6.1848125,-75.586911,75
942,6.1772557,-75.590031,75
557,6.1692449,-75.586588,73
1008,6.1816168,-75.581857,72
209,6.1622187,-75.597644,71
109,6.1592175,-75.578834,71
1037,6.1837657,-75.58469,69
712,6.1719666,-75.591369,68
590,6.1698554,-75.586196,66
522,6.1685926,-75.5975,66
1045,6.1847401,-75.583657,65
760,6.1727478,-75.592698,65
537,6.1688553,-75.596887,64
935,6.1769943,-75.589841,64
435,6.1670099,-75.569278,63
577,6.169612,-75.587384,62
1016,6.1821659,-75.576776,62
544,6.169011,-75.58948,61
619,6.1704211,-75.588598,61
228,6.1628244,-75.599686,59
504,6.1683351,-75.597233,59
1053,6.186412,-75.585062,57
361,6.1656794,-75.57834,57
980,6.1795611,-75.579866,56
1021,6.1825558,-75.580177,56
241,6.1632386,-75.602507,56
758,6.1726896,-75.578827,56
802,6.1736093,-75.59707,55
329,6.1650225,-75.580713,54
1032,6.1833181,-75.585537,54
533,6.168795,-75.585889,53
689,6.171637,-75.593649,53
547,6.1690355,-75.584847,53
489,6.1680446,-75.590268,53
1041,6.184051,-75.584783,53
300,6.1645952,-75.60138,52
883,6.1753463,-75.57458,52
1009,6.1816893,-75.582417,52
921,6.1765888,-75.567445,50
215,6.1623789,-75.59763,50
1,6.1472631,-75.576335,49
302,6.1646334,-75.596689,49
970,6.1789935,-75.583605,49
384,6.1661206,-75.58074,49
1002,6.1813124,-75.586885,48
526,6.1686787,-75.588761,47
661,6.1711516,-75.588156,47
108,6.1592038,-75.602594,47
806,6.173731,-75.596883,47
509,6.168391,-75.58524,47
444,6.1671549,-75.569336,47
418,6.1666917,-75.581185,46
484,6.1679659,-75.590242,46
549,6.1691209,-75.58953,46
1005,6.1815041,-75.58174,46
306,6.1647867,-75.594935,45
807,6.1737618,-75.57891,45
480,6.16787,-75.587448,45
432,6.1669782,-75.586044,45
381,6.1660119,-75.581581,44
488,6.168039,-75.584694,44
1029,6.183044,-75.58261,43
88,6.1587441,-75.594597,42
598,6.1700616,-75.587839,41
351,6.1655776,-75.581121,39
131,6.1601254,-75.602078,39
238,6.1631551,-75.593708,39
502,6.1683006,-75.588159,39
776,6.172981,-75.586076,39
885,6.1754143,-75.590782,38
22,6.1543439,-75.578021,38
613,6.170299,-75.586935,37
163,6.1609258,-75.59998,37
933,6.1769113,-75.580058,37
923,6.176668,-75.567525,37
741,6.1724319,-75.585528,37
105,6.1591382,-75.596259,36
1024,6.1827062,-75.580329,36
716,6.172014,-75.579216,36
654,6.1710247,-75.58816,36
458,6.1674096,-75.58672,36
331,6.1651169,-75.594483,35
636,6.1706629,-75.587448,35
1034,6.1834235,-75.585428,34
454,6.1673392,-75.585136,34
83,6.1583662,-75.580807,34
742,6.172435,-75.567871,34
925,6.1767546,-75.585468,33
642,6.1707838,-75.589258,33
448,6.1671943,-75.564826,33
556,6.1692245,-75.571738,33
940,6.177126,-75.58525,33
281,6.1642255,-75.58532,33
485,6.1679678,-75.580281,32
586,6.1697517,-75.584351,32
343,6.1653869,-75.587185,32
387,6.1661598,-75.580618,32
732,6.1722986,-75.567809,31
121,6.1598323,-75.58259,31
965,6.1785377,-75.588851,31
588,6.1698073,-75.589125,30
698,6.1717533,-75.587727,30
1003,6.1814024,-75.581679,30
1049,6.1852026,-75.583587,30
752,6.1726137,-75.590909,30
490,6.1680446,-75.583236,29
546,6.1690222,-75.587722,29
529,6.1686854,-75.584291,29
679,6.1714573,-75.591576,28
498,6.1682043,-75.580205,28
563,6.1693706,-75.58831,28
734,6.1723155,-75.59309,27
665,6.171262,-75.590306,27
417,6.1666662,-75.584118,27
928,6.1768235,-75.585392,27
455,6.1673716,-75.583673,27
272,6.1640194,-75.581208,27
63,6.1575638,-75.579224,26
1026,6.1827606,-75.588827,26
264,6.1639096,-75.58292,26
975,6.1791661,-75.587495,26
754,6.1726519,-75.583822,26
1018,6.1824785,-75.583313,26
895,6.1756619,-75.584184,26
427,6.1669208,-75.587995,26
438,6.1670381,-75.600817,26
505,6.1683517,-75.583769,25
956,6.1778031,-75.58455,25
948,6.1775036,-75.589485,25
657,6.171084,-75.586487,25
1051,6.185644,-75.586338,25
35,6.1558148,-75.600754,25
584,6.1696988,-75.589058,24
817,6.1739125,-75.586974,24
527,6.1686829,-75.58587,24
115,6.1594283,-75.573788,24
946,6.177329,-75.587025,24
795,6.1734294,-75.586716,24
608,6.1701876,-75.585057,24
565,6.1694357,-75.585507,24
285,6.1642565,-75.58642,24
634,6.1706396,-75.585785,24
599,6.170065,-75.585029,24
748,6.172554,-75.585549,24
959,6.1780334,-75.586523,24
144,6.1604043,-75.582515,24
112,6.159295,-75.59377,24
998,6.1808415,-75.582938,24
667,6.1713007,-75.585342,23
473,6.1676795,-75.585676,23
233,6.162978,-75.602401,22
294,6.1643717,-75.596317,22
799,6.1735406,-75.585683,22
225,6.162643,-75.585907,22
772,6.1729081,-75.583144,22
783,6.1731054,-75.59126,22
688,6.1716237,-75.586043,22
416,6.1666564,-75.585553,22
9,6.151984,-75.580644,22
833,6.1741678,-75.587992,22
431,6.166966,-75.600888,22
1020,6.1825498,-75.5775,22
156,6.1607905,-75.579428,22
119,6.1598,-75.595095,22
605,6.1701626,-75.594575,22
412,6.16657,-75.581163,21
244,6.163278,-75.581916,21
492,6.1680971,-75.586307,21
550,6.1691244,-75.58656,21
324,6.164968,-75.580828,21
452,6.1672848,-75.598245,21
539,6.1689167,-75.591471,21
813,6.1738793,-75.584283,21
140,6.1603208,-75.590005,21
751,6.1726094,-75.592299,20
680,6.1714574,-75.5933,20
723,6.1721066,-75.579275,20
439,6.1670458,-75.583168,20
229,6.1628548,-75.599744,20
357,6.1656454,-75.582548,20
706,6.1718683,-75.587748,20
471,6.1676212,-75.57852,20
224,6.162599,-75.602787,19
335,6.1652461,-75.594494,19
293,6.16436,-75.578794,19
277,6.1641499,-75.59599,19
697,6.171741,-75.586068,19
469,6.1675987,-75.572615,18
216,6.1623968,-75.573231,18
282,6.1642292,-75.578821,18
291,6.1643509,-75.581942,18
362,6.1657009,-75.589245,18
604,6.1701611,-75.57837,18
578,6.1696322,-75.584337,18
164,6.1610059,-75.595094,18
797,6.1735077,-75.585457,18
162,6.1609142,-75.600022,18
658,6.1710867,-75.569,18
997,6.1807562,-75.582954,18
353,6.1655987,-75.594021,18
273,6.1640309,-75.595992,17
669,6.1713146,-75.587007,17
486,6.1679778,-75.58627,17
880,6.1752705,-75.573686,17
816,6.1739066,-75.591875,17
371,6.1658868,-75.57955,17
236,6.1630425,-75.581527,17
955,6.1777981,-75.57272,17
641,6.1707761,-75.584583,17
569,6.1694857,-75.579745,17
392,6.1662128,-75.576914,17
10,6.1527475,-75.58444,17
258,6.1637442,-75.593137,16
256,6.163662,-75.601749,16
561,6.1693174,-75.572212,16
770,6.1728733,-75.58608,16
437,6.1670217,-75.581684,16
346,6.16547,-75.594017,16
944,6.1772825,-75.579838,16
327,6.1649893,-75.582966,16
585,6.169735,-75.586166,16
763,6.1727779,-75.582237,16
945,6.1773248,-75.579423,16
86,6.158679,-75.566644,16
779,6.1730417,-75.586969,16
468,6.1675922,-75.570654,16
91,6.1588095,-75.566637,16
910,6.1762051,-75.581005,16
204,6.1620282,-75.594495,16
483,6.1679213,-75.584671,16
183,6.1614728,-75.576107,16
333,6.1651651,-75.580268,16
917,6.176419,-75.585561,16
316,6.1648653,-75.569759,16
984,6.1796826,-75.579857,15
57,6.1574256,-75.566913,15
40,6.1561157,-75.582407,15
500,6.1682585,-75.58067,15
825,6.1741012,-75.583606,15
388,6.1661614,-75.589772,15
938,6.1770726,-75.585336,15
1023,6.1826582,-75.582042,15
739,6.172381,-75.587308,15
554,6.1692042,-75.594295,15
77,6.1582183,-75.581741,15
899,6.1757084,-75.584289,14
344,6.1654522,-75.591569,14
803,6.1736619,-75.586503,14
304,6.1646691,-75.582458,14
414,6.1666006,-75.593257,14
859,6.1748679,-75.585334,14
962,6.1782136,-75.579373,14
713,6.1719752,-75.586622,14
8,6.1511798,-75.577599,14
985,6.1796979,-75.583177,14
501,6.1682723,-75.58522,14
972,6.1791451,-75.57747,14
991,6.1802599,-75.58294,14
540,6.168917,-75.584818,14
651,6.1709661,-75.58646,14
153,6.160728,-75.581424,14
481,6.1678717,-75.602138,14
477,6.1677444,-75.58742,14
618,6.1703431,-75.589954,14
242,6.1632612,-75.596452,14
31,6.1551142,-75.578968,14
745,6.172496,-75.587328,14
262,6.1638979,-75.580877,14
979,6.1794495,-75.58504,14
13,6.1531769,-75.587602,13
538,6.1689034,-75.587695,13
1001,6.181238,-75.576751,13
181,6.1614356,-75.568489,13
764,6.1727918,-75.590711,13
882,6.1753456,-75.585125,13
23,6.1545211,-75.579126,13
26,6.1547728,-75.574886,13
824,6.1740943,-75.578818,13
201,6.1619313,-75.593584,13
789,6.1733254,-75.58667,13
397,6.166287,-75.592952,13
1015,6.1820903,-75.576703,13
960,6.178121,-75.584561,13
476,6.1677182,-75.58418,13
235,6.1630361,-75.593706,13
32,6.1555552,-75.582316,13
811,6.1738448,-75.579023,13
652,6.170972,-75.594313,12
60,6.1574768,-75.598032,12
562,6.1693238,-75.585486,12
187,6.1616036,-75.593852,12
308,6.1647887,-75.594211,12
11,6.1530559,-75.584468,12
103,6.1591208,-75.593927,12
626,6.1705042,-75.592518,12
