,LAT,LON,Cuenta
18968,6.27627044541,-75.573496302,811
18899,6.2760600736,-75.5707481213,792
10842,6.24685341912,-75.5752597216,776
18098,6.27330476643,-75.5931430393,725
16131,6.26375211873,-75.5967277363,698
11256,6.2480020807,-75.5805195389,659
10256,6.24502739683,-75.5715484904,560
16447,6.26508735509,-75.5717032041,540
10637,6.24628281323,-75.5753010984,519
21861,6.28639556634,-75.5704995108,518
17494,6.27039040864,-75.5739606743,515
14271,6.25702697606,-75.5718144385,482
3389,6.2150191006,-75.5819647769,480
18933,6.27614313661,-75.5730009697,473
3185,6.21364704347,-75.5761497859,458
11753,6.24925783096,-75.5646944961,449
17030,6.26798743494,-75.5768654112,442
8760,6.2399699888,-75.5755026696,439
3520,6.21681314059,-75.5854692084,421
3542,6.21699243701,-75.578180998,408
21264,6.28437730502,-75.5843649147,402
12652,6.25161364107,-75.5791647988,386
25359,6.30138769962,-75.5640190416,377
17598,6.27106662515,-75.57568129,375
6232,6.23185645896,-75.5744379346,374
16370,6.26472905268,-75.5750857694,374
19597,6.27853049328,-75.5881425234,371
1063,6.19488119864,-75.5799243879,367
18689,6.27541592639,-75.5737520533,365
2482,6.20874755798,-75.5765743781,360
5960,6.23107041857,-75.6006896809,359
10610,6.246202573,-75.5668516381,355
8488,6.23927100344,-75.587516188,350
14666,6.25824699034,-75.5718989368,344
15440,6.26105610822,-75.5742557669,340
16578,6.26560693066,-75.5750384965,338
10232,6.24496805883,-75.5677682925,338
15489,6.26123904532,-75.5740739884,325
16061,6.26348855346,-75.5731518199,321
15253,6.26033577296,-75.5733892852,318
8765,6.23998075728,-75.5785464683,314
13413,6.25436112717,-75.5776455195,312
5971,6.23110352913,-75.5655979284,310
12545,6.25130766255,-75.575200032,309
4661,6.22531712603,-75.5766681846,306
13154,6.25339700865,-75.5623522201,305
4787,6.22583821104,-75.5782434002,303
3135,6.21334133339,-75.5761466627,302
16584,6.26564076393,-75.5750929761,300
11481,6.24856556,-75.5833169002,300
22663,6.28917244671,-75.5705596502,297
8328,6.23874343662,-75.6003028022,297
5641,6.22972873315,-75.5698391863,289
17304,6.26938256591,-75.5954100163,286
16494,6.26523832517,-75.5726518156,283
143,6.17445533597,-75.643208096,277
16209,6.26408004568,-75.5632460176,272
14801,6.25866550809,-75.5802348129,265
10044,6.24436456164,-75.5699419192,265
3198,6.21368240215,-75.5783124387,264
19210,6.27712511457,-75.5895532697,263
14518,6.25780009822,-75.5705233818,261
20137,6.28057704691,-75.5692972079,260
11132,6.24769766164,-75.5788302347,260
1054,6.19477190577,-75.580213119,257
23380,6.29218264879,-75.5684641718,257
23272,6.29174347448,-75.5672392345,254
11388,6.24834593975,-75.5652605788,254
153,6.17463701714,-75.6448079083,253
13390,6.25429155979,-75.5748751856,252
24490,6.29672486732,-75.5670384127,251
11076,6.247562758,-75.5658318112,250
12116,6.25014375496,-75.5750946426,249
3558,6.21717164604,-75.5808055613,248
11692,6.24909389652,-75.5752538073,246
21268,6.28440827151,-75.5843471165,242
25703,6.30346727931,-75.5581989157,241
18177,6.27357083616,-75.5745822427,239
13778,6.25568371153,-75.573681567,237
8628,6.23961416776,-75.5778924993,235
8542,6.23944467025,-75.5830894894,234
23252,6.29164235009,-75.5696995962,227
6767,6.23359338169,-75.5741954398,227
13988,6.2562844781,-75.5730482146,226
1067,6.19494416817,-75.5800329561,225
17680,6.27149792053,-75.5775396071,223
12968,6.25269208453,-75.5627409331,223
18793,6.2757543321,-75.569360451,222
10868,6.24694113696,-75.579623018,219
9487,6.24245258141,-75.5753574206,219
14744,6.25847594203,-75.5861953534,219
11061,6.24750017019,-75.5784103406,217
12337,6.25065746686,-75.5639164169,215
3369,6.21490174616,-75.5594377726,212
3375,6.21492593967,-75.5759991236,211
9099,6.24112059146,-75.569629034,210
13897,6.25607168674,-75.5811228975,209
6207,6.23177841285,-75.5827699774,208
6000,6.2312009523,-75.5699569831,206
18797,6.27576650516,-75.5694028548,205
18697,6.27544305555,-75.5737800455,203
3233,6.21387146394,-75.5772772686,202
7082,6.23450856533,-75.5702052616,202
18980,6.27629782879,-75.5735618761,202
4798,6.22586832476,-75.5759483681,200
12248,6.25045431834,-75.5803348481,200
12302,6.25058952576,-75.6024756857,199
10449,6.24562761301,-75.5672809977,198
11269,6.24805570481,-75.5640999503,197
11735,6.24920999079,-75.5888309323,197
6252,6.23189425761,-75.5744014574,197
10156,6.24471990473,-75.570803628,196
20600,6.28210621203,-75.5722331093,196
1489,6.19980140634,-75.5795861274,195
16276,6.26431291624,-75.566494855,195
3573,6.21726706744,-75.5771271853,194
13624,6.25511204439,-75.5629788434,194
17646,6.27132787349,-75.5919389085,194
6237,6.2318691934,-75.5744419453,193
6122,6.23152195402,-75.5914561143,192
13712,6.25544942344,-75.563547107,192
18014,6.27292684243,-75.564938987,191
10828,6.24680809455,-75.5663875851,190
15997,6.2632353425,-75.5750893707,190
10902,6.24704950369,-75.5776651552,189
7794,6.23688612894,-75.5694512045,188
3824,6.2200393914,-75.5767542122,187
18159,6.2735251587,-75.5800542878,186
16299,6.2644401299,-75.5675362654,185
14816,6.25875211291,-75.5977557529,184
25695,6.30343375536,-75.5616601013,182
16504,6.26529420667,-75.5727410474,182
11082,6.24757394791,-75.575201969,181
21341,6.28457841509,-75.5713587099,180
5405,6.22890255408,-75.5771248619,177
12050,6.2500048217,-75.5997723832,177
18104,6.27332529945,-75.593200915,176
4473,6.22412049391,-75.5750975614,174
11523,6.24868520693,-75.5843081175,173
12556,6.25134026112,-75.5635216819,172
21856,6.28638669975,-75.5703122985,171
15011,6.25945521261,-75.5799159251,171
1289,6.19763283383,-75.5896903831,170
22673,6.28919740156,-75.5706209731,170
10575,6.24605120843,-75.5745743348,169
2231,6.2066953722,-75.5860008885,169
3667,6.21850583885,-75.5849791188,169
12098,6.25009156888,-75.5976274778,169
6192,6.23173397377,-75.5827258594,167
9027,6.24083932919,-75.5882842603,166
10616,6.24621406933,-75.5669098459,166
5993,6.2311783242,-75.6006673191,166
3322,6.21459995991,-75.5785211686,165
14656,6.25820971249,-75.5705763979,165
9748,6.24336850011,-75.5753475572,163
26599,6.30907987509,-75.558747159,162
10827,6.24680727803,-75.5769553428,161
17384,6.2697022742,-75.5716936623,161
1902,6.2037958823,-75.5790206987,161
6706,6.23336043159,-75.5734947069,161
14418,6.25745196869,-75.5725304758,160
2187,6.20629600925,-75.5714615155,159
18092,6.27326534927,-75.5732985602,159
18696,6.27544305503,-75.5737802262,159
6214,6.23181307206,-75.5798722464,158
2535,6.2090417915,-75.5789040367,158
3390,6.21503465223,-75.5820270574,157
8613,6.23958023191,-75.5786987134,157
110,6.173597426,-75.6437261739,157
6220,6.23183171238,-75.6041633678,156
3033,6.21255206342,-75.5830622095,156
289,6.177048407,-75.6430373338,156
24192,6.29532701073,-75.567820773,155
13518,6.25475110388,-75.562271035,155
20099,6.28045129833,-75.5724992271,154
2735,6.2105676377,-75.6032477793,154
1202,6.19666662588,-75.5575774003,153
24928,6.29918620156,-75.5596307429,153
11435,6.24847906161,-75.582587024,153
8225,6.23843689866,-75.5732039534,153
14247,6.25699463722,-75.5830752502,152
2017,6.20479754501,-75.5872286277,152
8389,6.23891041531,-75.596727407,152
8808,6.2401109565,-75.5700441491,152
1861,6.20333275753,-75.5770836884,151
1826,6.20300374377,-75.5798815265,151
18000,6.27288686198,-75.5748808475,150
9978,6.24413034455,-75.5786513265,150
2300,6.207361772,-75.5791318711,149
14381,6.25733305258,-75.568826355,149
21098,6.28363927679,-75.5711742653,148
1151,6.19580263611,-75.5833231309,148
16475,6.26518602759,-75.5963306991,148
19402,6.27778788149,-75.611370387,147
10582,6.24607662986,-75.5746307755,147
20670,6.28231072854,-75.5721870772,145
6166,6.23165280629,-75.5872766031,145
17906,6.27254691487,-75.5734774601,145
13305,6.25400165437,-75.5769378917,145
13749,6.25556580023,-75.5769596036,143
3555,6.21715493486,-75.5864479898,142
3368,6.21489732331,-75.5793943144,141
7546,6.23606340139,-75.5694308118,141
16410,6.26485869915,-75.5700359179,141
8010,6.23753448279,-75.5710028775,140
