,Departamento,Year,DOW,Accidentes,Habitantes,AccidentesNormalizado
0,Antioquia,2014,7,1,6677930.0,0.1497470024393787
1,Antioquia,2015,3,1,6677930.0,0.1497470024393787
552,Norte de Santander,2015,3,1,1620318.0,0.6171628038446774
2,Antioquia,2016,1,12,6677930.0,1.796964029272544
3,Antioquia,2016,2,10,6677930.0,1.4974700243937866
4,Antioquia,2016,3,15,6677930.0,2.24620503659068
5,Antioquia,2016,4,18,6677930.0,2.6954460439088157
6,Antioquia,2016,5,12,6677930.0,1.796964029272544
7,Antioquia,2016,6,14,6677930.0,2.0964580341513015
8,Antioquia,2016,7,11,6677930.0,1.6472170268331654
74,Boyacá,2016,1,1,1242731.0,0.8046793714810365
75,Boyacá,2016,2,1,1242731.0,0.8046793714810365
76,Boyacá,2016,3,2,1242731.0,1.609358742962073
77,Boyacá,2016,4,1,1242731.0,0.8046793714810365
78,Boyacá,2016,5,1,1242731.0,0.8046793714810365
79,Boyacá,2016,6,1,1242731.0,0.8046793714810365
80,Boyacá,2016,7,2,1242731.0,1.609358742962073
186,Casanare,2016,1,2,435195.0,4.595641034478796
187,Casanare,2016,4,3,435195.0,6.893461551718195
188,Casanare,2016,6,6,435195.0,13.78692310343639
189,Casanare,2016,7,2,435195.0,4.595641034478796
225,Cauca,2016,1,1,1491937.0,0.6702695891314445
226,Cauca,2016,2,1,1491937.0,0.6702695891314445
227,Cauca,2016,3,3,1491937.0,2.010808767394334
228,Cauca,2016,4,3,1491937.0,2.010808767394334
229,Cauca,2016,5,4,1491937.0,2.681078356525778
230,Cauca,2016,6,6,1491937.0,4.021617534788668
231,Cauca,2016,7,3,1491937.0,2.010808767394334
322,Cundinamarca,2016,1,2,3242999.0,0.6167131103031485
323,Cundinamarca,2016,2,3,3242999.0,0.9250696654547227
324,Cundinamarca,2016,3,5,3242999.0,1.541782775757871
325,Cundinamarca,2016,5,4,3242999.0,1.233426220606297
326,Cundinamarca,2016,6,9,3242999.0,2.775208996364168
327,Cundinamarca,2016,7,1,3242999.0,0.30835655515157423
363,Córdoba,2016,1,1,1828947.0,0.5467627000673065
364,Córdoba,2016,2,1,1828947.0,0.5467627000673065
365,Córdoba,2016,3,1,1828947.0,0.5467627000673065
366,Córdoba,2016,6,2,1828947.0,1.093525400134613
367,Córdoba,2016,7,1,1828947.0,0.5467627000673065
