,Departamento,DOW,Accidentes,Habitantes,AccidentesNormalizado
0,Antioquia,1,292,6677930.0,43.72612471229858
1,Antioquia,2,279,6677930.0,41.77941368058665
2,Antioquia,3,288,6677930.0,43.12713670254105
3,Antioquia,4,281,6677930.0,42.0789076854654
4,Antioquia,5,284,6677930.0,42.52814869278354
5,Antioquia,6,317,6677930.0,47.469799773283036
6,Antioquia,7,316,6677930.0,47.32005277084366
8,Atlántico,2,2,2722128.0,0.7347193078356345
9,Atlántico,6,1,2722128.0,0.3673596539178173
7,Atlántico,1,1,2722128.0,0.3673596539178173
10,Bolívar,1,7,2180976.0,3.209572228213424
11,Bolívar,2,18,2180976.0,8.25318572969166
12,Bolívar,3,9,2180976.0,4.12659286484583
13,Bolívar,4,6,2180976.0,2.7510619098972207
14,Bolívar,5,13,2180976.0,5.960634138110644
15,Bolívar,6,13,2180976.0,5.960634138110644
16,Bolívar,7,13,2180976.0,5.960634138110644
21,Boyacá,5,246,1242731.0,197.951125384335
22,Boyacá,6,266,1242731.0,214.04471281395573
20,Boyacá,4,204,1242731.0,164.15459178213146
23,Boyacá,7,252,1242731.0,202.7792016132212
18,Boyacá,2,227,1242731.0,182.66221732619528
17,Boyacá,1,212,1242731.0,170.59202675397972
19,Boyacá,3,222,1242731.0,178.6388204687901
24,Caldas,1,107,1018453.0,105.06130376168562
25,Caldas,2,130,1018453.0,127.64457466373018
26,Caldas,3,96,1018453.0,94.2606089824469
27,Caldas,4,141,1018453.0,138.44526944296888
28,Caldas,5,141,1018453.0,138.44526944296888
29,Caldas,6,132,1018453.0,129.6083373508645
30,Caldas,7,104,1018453.0,102.11565973098415
37,Caquetá,7,73,410521.0,177.82281539799425
36,Caquetá,6,49,410521.0,119.36051992468107
35,Caquetá,5,60,410521.0,146.15573868328295
34,Caquetá,4,53,410521.0,129.10423583689996
32,Caquetá,2,52,410521.0,126.66830685884521
31,Caquetá,1,55,410521.0,133.97609379300937
33,Caquetá,3,52,410521.0,126.66830685884521
38,Casanare,1,89,435195.0,204.50602603430647
39,Casanare,2,77,435195.0,176.93217982743369
40,Casanare,3,74,435195.0,170.03871827571547
41,Casanare,4,95,435195.0,218.29294913774285
42,Casanare,5,103,435195.0,236.67551327565803
43,Casanare,6,102,435195.0,234.37769275841862
44,Casanare,7,111,435195.0,255.05807741357322
50,Cauca,6,111,1491937.0,74.39992439359035
51,Cauca,7,140,1491937.0,93.83774247840223
49,Cauca,5,117,1491937.0,78.42154192837901
48,Cauca,4,108,1491937.0,72.38911562619602
47,Cauca,3,95,1491937.0,63.67561096748723
46,Cauca,2,79,1491937.0,52.951297541384115
45,Cauca,1,104,1491937.0,69.70803726967024
57,Cesar,6,47,1295387.0,36.28259354154395
56,Cesar,5,52,1295387.0,40.142443918303954
55,Cesar,4,43,1295387.0,33.19471324013596
58,Cesar,7,32,1295387.0,24.703042411263972
53,Cesar,2,33,1295387.0,25.475012486615967
52,Cesar,1,31,1295387.0,23.93107233591197
54,Cesar,3,38,1295387.0,29.334862863375964
59,Chocó,1,19,544764.0,34.877488233436864
60,Chocó,2,11,544764.0,20.1922300298845
61,Chocó,3,14,544764.0,25.699201856216636
62,Chocó,4,12,544764.0,22.027887305328548
63,Chocó,5,9,544764.0,16.52091547899641
64,Chocó,6,11,544764.0,20.1922300298845
65,Chocó,7,20,544764.0,36.71314550888091
70,Cundinamarca,5,80,3242999.0,24.668524412125937
71,Cundinamarca,6,100,3242999.0,30.83565551515742
69,Cundinamarca,4,84,3242999.0,25.901950632732234
72,Cundinamarca,7,72,3242999.0,22.201671970913345
67,Cundinamarca,2,73,3242999.0,22.510028526064914
66,Cundinamarca,1,78,3242999.0,24.051811301822788
68,Cundinamarca,3,86,3242999.0,26.518663743035383
73,Córdoba,1,73,1828947.0,39.913677104913376
74,Córdoba,2,52,1828947.0,28.431660403499937
75,Córdoba,3,55,1828947.0,30.071948503701858
76,Córdoba,4,74,1828947.0,40.46043980498068
77,Córdoba,5,62,1828947.0,33.899287404173
78,Córdoba,6,63,1828947.0,34.446050104240314
79,Córdoba,7,88,1828947.0,48.11511760592297
86,Guajira,7,17,965718.0,17.603482590155718
85,Guajira,6,21,965718.0,21.74547849372177
84,Guajira,5,15,965718.0,15.532484638372694
83,Guajira,4,13,965718.0,13.461486686589668
81,Guajira,2,15,965718.0,15.532484638372694
80,Guajira,1,20,965718.0,20.70997951783026
82,Guajira,3,16,965718.0,16.567983614264204
87,Huila,1,30,1122622.0,26.72315347463349
88,Huila,2,27,1122622.0,24.05083812717014
89,Huila,3,23,1122622.0,20.48775099721901
90,Huila,4,24,1122622.0,21.378522779706792
91,Huila,5,37,1122622.0,32.95855595204797
92,Huila,6,38,1122622.0,33.849327734535755
93,Huila,7,60,1122622.0,53.44630694926698
99,Magdalena,6,4,1427026.0,2.80303232036417
100,Magdalena,7,11,1427026.0,7.708338881001469
98,Magdalena,5,4,1427026.0,2.80303232036417
95,Magdalena,2,4,1427026.0,2.80303232036417
96,Magdalena,3,7,1427026.0,4.905306560637298
97,Magdalena,4,11,1427026.0,7.708338881001469
94,Magdalena,1,6,1427026.0,4.204548480546255
106,Meta,6,32,1063454.0,30.090629213863505
105,Meta,5,21,1063454.0,19.746975421597924
104,Meta,4,26,1063454.0,24.4486362362641
107,Meta,7,31,1063454.0,29.15029705093027
102,Meta,2,23,1063454.0,21.627639747464393
