,Departamento,Year,Accidentes,Habitantes,AccidentesNormalizado
0,Antioquia,2014,1,6677930.0,0.1497470024393787
1,Antioquia,2015,1,6677930.0,0.1497470024393787
2,Antioquia,2016,92,6677930.0,13.77672422442284
3,Antioquia,2017,984,6677930.0,147.3510504003486
4,Antioquia,2018,514,6677930.0,76.96995925384064
5,Antioquia,2019,264,6677930.0,39.53320864399597
6,Antioquia,2020,151,6677930.0,22.61179736834618
7,Antioquia,2021,50,6677930.0,7.487350121968933
8,Atlántico,2017,2,2722128.0,0.7347193078356345
9,Atlántico,2019,2,2722128.0,0.7347193078356345
10,Bolívar,2017,20,2180976.0,9.170206366324068
11,Bolívar,2018,8,2180976.0,3.668082546529627
12,Bolívar,2019,4,2180976.0,1.8340412732648135
13,Bolívar,2020,23,2180976.0,10.545737321272677
14,Bolívar,2021,24,2180976.0,11.004247639588883
15,Boyacá,2016,9,1242731.0,7.2421143433293285
16,Boyacá,2017,326,1242731.0,262.3254751028179
17,Boyacá,2018,359,1242731.0,288.8798943616921
18,Boyacá,2019,350,1242731.0,281.6377800183628
19,Boyacá,2020,292,1242731.0,234.96637647246266
20,Boyacá,2021,293,1242731.0,235.77105584394369
21,Caldas,2017,147,1018453.0,144.33655750437183
22,Caldas,2018,198,1018453.0,194.41250602629674
23,Caldas,2019,236,1018453.0,231.72399708184864
24,Caldas,2020,162,1018453.0,159.06477765787918
25,Caldas,2021,108,1018453.0,106.04318510525277
26,Caquetá,2017,90,410521.0,219.23360802492442
27,Caquetá,2018,108,410521.0,263.08032962990933
28,Caquetá,2019,91,410521.0,221.66953700297913
29,Caquetá,2020,68,410521.0,165.64317050772067
30,Caquetá,2021,37,410521.0,90.12937218802449
31,Casanare,2016,13,435195.0,29.87166672411218
32,Casanare,2017,130,435195.0,298.7166672411218
33,Casanare,2018,153,435195.0,351.56653913762796
34,Casanare,2019,74,435195.0,170.03871827571547
35,Casanare,2020,169,435195.0,388.3316674134583
36,Casanare,2021,112,435195.0,257.3558979308126
37,Cauca,2016,21,1491937.0,14.075661371760336
38,Cauca,2017,245,1491937.0,164.2160493372039
39,Cauca,2018,156,1491937.0,104.56205590450536
40,Cauca,2019,94,1491937.0,63.00534137835579
41,Cauca,2020,172,1491937.0,115.28636933060847
42,Cauca,2021,66,1491937.0,44.237792882675336
43,Cesar,2017,6,1295387.0,4.631820452111994
44,Cesar,2018,96,1295387.0,74.10912723379191
45,Cesar,2019,58,1295387.0,44.77426437041595
46,Cesar,2020,104,1295387.0,80.28488783660791
47,Cesar,2021,12,1295387.0,9.263640904223989
48,Chocó,2017,51,544764.0,93.61852104764633
49,Chocó,2018,14,544764.0,25.699201856216636
50,Chocó,2019,13,544764.0,23.863544580772594
51,Chocó,2020,17,544764.0,31.20617368254877
52,Chocó,2021,1,544764.0,1.8356572754440457
53,Cundinamarca,2016,24,3242999.0,7.4005573236377815
54,Cundinamarca,2017,261,3242999.0,80.48106089456087
55,Cundinamarca,2018,127,3242999.0,39.161282504249925
56,Cundinamarca,2019,79,3242999.0,24.360167856974364
57,Cundinamarca,2020,57,3242999.0,17.57632364363973
58,Cundinamarca,2021,25,3242999.0,7.708913878789355
59,Córdoba,2016,6,1828947.0,3.2805762004038392
60,Córdoba,2017,121,1828947.0,66.15828670814408
61,Córdoba,2018,37,1828947.0,20.23021990249034
62,Córdoba,2019,63,1828947.0,34.446050104240314
63,Córdoba,2020,133,1828947.0,72.71943910895176
64,Córdoba,2021,107,1828947.0,58.503608907201794
65,Guajira,2017,3,965718.0,3.106496927674539
