,Departamento,Habitantes,Accidentes,AccidentesNormalizado
0,Antioquia,6677930.0,2057,308.02958401780194
1,Atlántico,2722128.0,4,1.469438615671269
2,Bolívar,2180976.0,79,36.222315146980065
3,Boyacá,1242731.0,1629,1310.8226961426085
4,Caldas,1018453.0,851,835.5810233756491
5,Caquetá,410521.0,394,959.756017353558
6,Casanare,435195.0,651,1495.8811567228483
7,Cauca,1491937.0,754,505.38327020510917
8,Cesar,1295387.0,276,213.06374079715175
9,Chocó,544764.0,96,176.22309844262838
10,Cundinamarca,3242999.0,573,176.68830610185202
11,Córdoba,1828947.0,467,255.33818093143213
12,Guajira,965718.0,117,121.153380179307
13,Huila,1122622.0,239,212.89445601458016
14,Magdalena,1427026.0,47,32.935629764279
15,Meta,1063454.0,169,158.91613553571662
16,Nariño,1627589.0,870,534.5329809921301
17,Norte de Santander,1620318.0,420,259.2083776147645
18,Putumayo,359127.0,367,1021.9226067658517
19,Quindío,555401.0,651,1172.1260854769796
20,Risaralda,961055.0,1456,1515.001742876318
21,San Andres y Providencia,63692.0,81,1271.745274131759
22,Santander,2280908.0,685,300.3189957683519
23,Sucre,949252.0,116,122.20148074483909
24,Tolima,1339998.0,499,372.3886155053963
25,Valle del Cauca,4532152.0,1987,438.4230714239063
